RequestCode;Author;FM Author;Kode Dosen;JJA;Pendidikan;Type;S/F;Dept;Kampus;First Author;Sumber paper ;Bobot;Submitted;St2024;Jenis;Tipe Publikasi;Title ;Scopus Year;Source title;Publisher;Quartile Jurnal
2025-02-23-PUBLICATION-001;HINDAM BASITH RAFIQI, YUDHISTYA AYU KUSUMAWATI, ANINDYA WIDITA, LUTHFI TRI ATMAJI;Lutfi Tri Atmaji, S.T., M.Sn.;D6103;Asisten Ahli (150);Pascasarjana (S2);Struktural;FDCHT;Visual Comm Design (BINUS @Malang);MALANG;N;Penelitian Mandiri;0,25;Non Scopus FM;4Published;Jurnal;Nscopus;A Visual Transformation: Using Photography to Boost Tugu Jawa's Brand Visibility;2025;Bahasa Rupa;;Jurnal SINTA 3
2025-02-25-PUBLICATION-003;(Felisianus Novandri Rahmat, Tri Suharman), FREDERIK MASRI GASA;Frederik Masri Gasa, S.IP., M.Si.;D5925;Lektor (200);Pascasarjana (S2);Struktural;FDCHT;Communication (BINUS @Malang);MALANG;N;Penelitian Mandiri;1;Non Scopus FM;4Published;Jurnal;Nscopus;Kolaborasi Jurnalisme dan Artificial Intelligence di Indonesia;2025;Komunika: Jurnal Ilmu Komunikasi;;Jurnal SINTA 4
2025-03-07-PUBLICATION-008;ROMANUS PITER;Romanus Piter, S.Fil., M.Fil.;D7051;-;Pascasarjana (S2);Faculty Member;VR1;Character Building Development Center;MALANG;Y;Penelitian Mandiri;1;Non Scopus FM;4Published;Book Chapter;Nscopus;Beragama Anti-Kekerasan: Pemikiran Armada Riyanto untuk Skema Moderasi Beragama di Indonesia;2025;Bagian Kedua - Sayap Filsafat Relasionalitas Liyan;;Book Chapter non Scopus
2025-03-15-PUBLICATION-002;NI PUTU ELVIAN ANDREANI;Ni Putu Elvian Andreani, S.Ds., M.Ds.;D6917;-;Pascasarjana (S2);Struktural;SOD;Visual Comm Design (BINUS @Malang);MALANG;Y;Penelitian Mandiri;1;Non Scopus FM;4Published;Jurnal;Nscopus;Identitas Visual Karakter Animasi Sebagai Representasi Multikultural Labuan Bajo;2025;Visualita;;Jurnal SINTA 4
2025-03-20-PUBLICATION-004;ANDI PRAMONO, FAIRUZ IQBAL MAULANA, (Mrs. Elsa Rosyidah), BAMBANG KARTONO K, AGUNG PURNOMO, (Mr. Mustafa Mohamed, Dr. Muhamad Ezran);Andi Pramono, S.T., M.Arch;D6339;Lektor (200);Pascasarjana (S2);Subject Content Specialist;SOD;Interior Design (BINUS @Malang);MALANG;Y;Hibah Internal (PPB, BRUN, BPL): Binus Peduli Lingkungan;0,25;Scopus FM;3Accepted;Seminar;Scopus;UPCYCLING OF FURNITURE INDUSTRY WASTE TO SUPPORT THE CIRCULAR ECONOMY;2025;2025 International Conference Research Collaboration of Environmental Science (ICRC);;Proceeding
2025-03-20-PUBLICATION-004;ANDI PRAMONO, FAIRUZ IQBAL MAULANA, (Mrs. Elsa Rosyidah), BAMBANG KARTONO K, AGUNG PURNOMO, (Mr. Mustafa Mohamed, Dr. Muhamad Ezran);Fairuz Iqbal Maulana, S.T., M.T.;D6066;Lektor (300);Pascasarjana (S2);Struktural;SOCS;Computer Science (BINUS @Malang);MALANG;N;Hibah Internal (PPB, BRUN, BPL): Binus Peduli Lingkungan;0,25;Scopus FM;3Accepted;Seminar;Scopus;UPCYCLING OF FURNITURE INDUSTRY WASTE TO SUPPORT THE CIRCULAR ECONOMY;2025;2025 International Conference Research Collaboration of Environmental Science (ICRC);;Proceeding
2025-03-20-PUBLICATION-004;ANDI PRAMONO, FAIRUZ IQBAL MAULANA, (Mrs. Elsa Rosyidah), BAMBANG KARTONO K, AGUNG PURNOMO, (Mr. Mustafa Mohamed, Dr. Muhamad Ezran);Bambang Kartono K, S.Sn., M.A.;D3682;Lektor (300);Pascasarjana (S2);Subject Content Coordinator;SOD;Interior Design (BINUS @Malang);MALANG;N;Hibah Internal (PPB, BRUN, BPL): Binus Peduli Lingkungan;0,25;Scopus FM;3Accepted;Seminar;Scopus;UPCYCLING OF FURNITURE INDUSTRY WASTE TO SUPPORT THE CIRCULAR ECONOMY;2025;2025 International Conference Research Collaboration of Environmental Science (ICRC);;Proceeding
2025-03-20-PUBLICATION-004;ANDI PRAMONO, FAIRUZ IQBAL MAULANA, (Mrs. Elsa Rosyidah), BAMBANG KARTONO K, AGUNG PURNOMO, (Mr. Mustafa Mohamed, Dr. Muhamad Ezran);Agung Purnomo, S.P., MBA;D5868;Lektor (300);Pascasarjana (S2);Faculty Member;BBS;Entre. - Buss. Creation (BINUS @Malang);MALANG;N;Hibah Internal (PPB, BRUN, BPL): Binus Peduli Lingkungan;0,25;Scopus FM;3Accepted;Seminar;Scopus;UPCYCLING OF FURNITURE INDUSTRY WASTE TO SUPPORT THE CIRCULAR ECONOMY;2025;2025 International Conference Research Collaboration of Environmental Science (ICRC);;Proceeding
2025-03-20-PUBLICATION-003;ANDI PRAMONO, FAIRUZ IQBAL MAULANA, (Mrs. Elsa Rosyidah), BAMBANG KARTONO K, AGUNG PURNOMO, (Mr. Mustafa Mohamed, Dr. Muhamad Ezran);Andi Pramono, S.T., M.Arch;D6339;Lektor (200);Pascasarjana (S2);Subject Content Specialist;SOD;Interior Design (BINUS @Malang);MALANG;Y;Hibah Internal (PPB, BRUN, BPL): Binus Peduli Lingkungan;0,25;Scopus FM;3Accepted;Seminar;Scopus;UTILIZATION OF WOOD WASTE INTO SIDE TABLES EQUIPPED WITH AN AIR QUALITY MONITORING SYSTEM;2025;2025 International Conference Research Collaboration of Environmental Science (ICRC);;Proceeding
2025-03-20-PUBLICATION-003;ANDI PRAMONO, FAIRUZ IQBAL MAULANA, (Mrs. Elsa Rosyidah), BAMBANG KARTONO K, AGUNG PURNOMO, (Mr. Mustafa Mohamed, Dr. Muhamad Ezran);Fairuz Iqbal Maulana, S.T., M.T.;D6066;Lektor (300);Pascasarjana (S2);Struktural;SOCS;Computer Science (BINUS @Malang);MALANG;N;Hibah Internal (PPB, BRUN, BPL): Binus Peduli Lingkungan;0,25;Scopus FM;3Accepted;Seminar;Scopus;UTILIZATION OF WOOD WASTE INTO SIDE TABLES EQUIPPED WITH AN AIR QUALITY MONITORING SYSTEM;2025;2025 International Conference Research Collaboration of Environmental Science (ICRC);;Proceeding
2025-03-20-PUBLICATION-003;ANDI PRAMONO, FAIRUZ IQBAL MAULANA, (Mrs. Elsa Rosyidah), BAMBANG KARTONO K, AGUNG PURNOMO, (Mr. Mustafa Mohamed, Dr. Muhamad Ezran);Bambang Kartono K, S.Sn., M.A.;D3682;Lektor (300);Pascasarjana (S2);Subject Content Coordinator;SOD;Interior Design (BINUS @Malang);MALANG;N;Hibah Internal (PPB, BRUN, BPL): Binus Peduli Lingkungan;0,25;Scopus FM;3Accepted;Seminar;Scopus;UTILIZATION OF WOOD WASTE INTO SIDE TABLES EQUIPPED WITH AN AIR QUALITY MONITORING SYSTEM;2025;2025 International Conference Research Collaboration of Environmental Science (ICRC);;Proceeding
2025-03-20-PUBLICATION-003;ANDI PRAMONO, FAIRUZ IQBAL MAULANA, (Mrs. Elsa Rosyidah), BAMBANG KARTONO K, AGUNG PURNOMO, (Mr. Mustafa Mohamed, Dr. Muhamad Ezran);Agung Purnomo, S.P., MBA;D5868;Lektor (300);Pascasarjana (S2);Faculty Member;BBS;Entre. - Buss. Creation (BINUS @Malang);MALANG;N;Hibah Internal (PPB, BRUN, BPL): Binus Peduli Lingkungan;0,25;Scopus FM;3Accepted;Seminar;Scopus;UTILIZATION OF WOOD WASTE INTO SIDE TABLES EQUIPPED WITH AN AIR QUALITY MONITORING SYSTEM;2025;2025 International Conference Research Collaboration of Environmental Science (ICRC);;Proceeding
2025-04-14-PUBLICATION-005;I GEDE PUTRA KUSUMA NEGARA, YULIANTO, RENALDY FREDYAN, (Hendi Chandi, Jeffry William Tani, Philip Kwan, Muhammad Dafa Syukur);Yulianto, S.Kom., M.Kom.;D6671;Asisten Ahli (150);Pascasarjana (S2);Lecturer Specialist S2;SOCS;Computer Science (BINUS @Malang);MALANG;N;Penelitian Mandiri;0,333333333;Scopus FM;3Accepted;Jurnal;Scopus;Robust QR Code Counterfeit Detection by Integrating VGG19 Neural Embedding and Triplet Loss;2025;Baghdad Science Journal;;Q2/Q3
2025-04-19-PUBLICATION-001;(M. Irwan Tahir), KUKUH LUKIYANTO, (Grace Citra Dewi, Ani Martini, Rizki Alfadillah Nasution);Dr. Kukuh Lukiyanto, S.T., M.M., M.T.;D5847;Lektor (200);Doktor (S3);Subject Content Specialist;BBS;Entre. - Buss. Creation (BINUS @Malang);MALANG;N;Penelitian Mandiri;1;Scopus FM;5Detected;Jurnal;Scopus;Employee Perceptions of Leadership Style: Transformational Theory;2025;Journal of Information Systems Engineering and Management;;Q4
2025-04-23-PUBLICATION-008;(Sony Kusumasondjaja, Sri Wahjuni Astuti, Wenti Krisnawati), HARRIS PRASETYA RAHMANDIKA;Harris Prasetya Rahmandika, S.M., M.M.;D7058;-;Pascasarjana (S2);Faculty Member;BBS;Entre. - Buss. Creation (BINUS @Malang);MALANG;N;Penelitian Mandiri;1;Scopus FM;4Published;Jurnal;Scopus;Multisensory cues and revisit intention to restaurants: the mediating roles of food quality and service experience;2025;Journal of Food Service Business Research;;Q2
2025-04-09-CON-005;(Octavia Mega Safira), RADITYO WIDIATMOJO;Radityo Widiatmojo, S.Sos., M.Si.;D6773;Lektor (200);Pascasarjana (S2);Subject Content Coordinator;FDCHT;Communication (BINUS @Malang);MALANG;N;Penelitian Mandiri;1;Scopus FM;3Accepted;Seminar;Scopus;The Shifted Identity of BTS Army East Java Indonesia;2025;2024 International Conference on Sustainable Energy, Environment, Education, and Information System (ICSEEIS);;Proceeding
2025-04-21-CON-001;ANDHIKA PRAMALYSTIANTO;Andhika Pramalystianto, S.T., M.Ds.;D6585;Asisten Ahli (150);Pascasarjana (S2);Lecturer Specialist S2;SOD;Interior Design (BINUS @Malang);MALANG;Y;Penelitian Mandiri;1;Non Scopus FM;3Accepted;Seminar;Nscopus;Virtual Reality-Driven Smart Workspace Design: Leveraging Visual Analytics to Enhance Physical Comfort and Efficiency in Software Engineering;2025;2025 2nd International Conference on Emerging Technologies in Electronics, Computing and Communication (ICETECC);;Proceeding
2025-04-21-CON-002;ANDHIKA PRAMALYSTIANTO;Andhika Pramalystianto, S.T., M.Ds.;D6585;Asisten Ahli (150);Pascasarjana (S2);Lecturer Specialist S2;SOD;Interior Design (BINUS @Malang);MALANG;Y;Penelitian Mandiri;1;Non Scopus FM;3Accepted;Seminar;Nscopus;Integrating Interior Design Elements into Virtual Field Trip Spaces in the Metaverse;2025;2025 2nd International Conference on Emerging Technologies in Electronics, Computing and Communication (ICETECC);;Proceeding
2025-04-21-CON-003;ANDHIKA PRAMALYSTIANTO;Andhika Pramalystianto, S.T., M.Ds.;D6585;Asisten Ahli (150);Pascasarjana (S2);Lecturer Specialist S2;SOD;Interior Design (BINUS @Malang);MALANG;Y;Penelitian Mandiri;1;Non Scopus FM;3Accepted;Seminar;Nscopus;Leveraging 3ds Max and Unreal Engine for Comprehensive Interior Design: Detailed 3D Models, Rendering, and Animation;2025;2025 2nd International Conference on Emerging Technologies in Electronics, Computing and Communication (ICETECC);;Proceeding
2025-04-26-CON-001;M. ALDIKI FEBRIANTONO;M. Aldiki Febriantono, S.T., M.T.;D6394;Asisten Ahli (150);Pascasarjana (S2);Struktural;SOCS;Computer Science (BINUS @Malang);MALANG;Y;Hibah Internal (PPB, BRUN, BPL): PPB;1;Scopus FM;3Accepted;Seminar;Scopus;XAI-Driven Apple Disease Identification Using EfficientNet and Grad-CAM;2025;2025 International Conference on Smart Computing, IoT, and Machine Learning (SIML);;Proceeding
2025-05-07-PUBLICATION-001;FAISHAL HILMY MAULIDA;Faishal Hilmy Maulida, S.Hum., M.Hum.;D6266;Lektor (200);Pascasarjana (S2);Struktural;VR1;Character Building Development Center;MALANG;Y;Penelitian Mandiri;1;Scopus FM;5Detected;Book Chapter;Scopus;Gangsters, Music, and Aremania: Modernity and the Dynamics of Arek Malang to Defend their Existence (1970–2000);2025;Collective Memory, Marginality, and Spatial Politics in Urban Indonesia;;Book Chapter Scopus
2025-05-08-PUBLICATION-004;(Ni Made Ayu Wulan Sari, Shelly Iskandar, Efri Widianti), NYOMAN WIRA PRASETYA;Nyoman Wira Prasetya, S.Kom., M.T., M. Sc.;D6494;Asisten Ahli (150);Pascasarjana (S2);Subject Content Specialist;SOCS;Computer Science (BINUS @Malang);MALANG;N;Penelitian Mandiri;1;Scopus FM;5Detected;Jurnal;Scopus;Cultural Adaptation Celebrity Attitude Scale (CAS) in Indonesian Community;2025;Malaysian Journal of Nursing;;Q4
2025-05-19-PUBLICATION-006;(Zeplin Jiwa Husada Tarigan), SAHNAZ UBUD, (Zefanya valentino Bastanta, Ferry Jie);Dr. Sahnaz Ubud, S.T., M.MT;D6373;Lektor (200);Doktor (S3);Subject Content Specialist;BBS;Entre. - Buss. Creation (BINUS @Malang);MALANG;N;Penelitian Mandiri;1;Scopus FM;3Accepted;Jurnal;Scopus;The impact of configuration management decisions on firm resilience: Integrating resource configuration, operational flexibility, and collaborative supply chain strategies;2025;Journal of Project Management;;Q2
2025-05-06-CON-001;MILKHATUSSYAFA'AH TAUFIQ;Milkhatussyafa'ah Taufiq, S.T., M.T.;D6747;Asisten Ahli (150);Pascasarjana (S2);Faculty Member;SOCS;Computer Science (BINUS @Malang);MALANG;Y;Penelitian Mandiri;1;Scopus FM;3Accepted;Seminar;Scopus;"Virtual and Augmented Reality Games for Stroke
Rehabilitation: A Systematic Literature Review into The Game Design";2025;2024 9th International Conference on Computer Science and Computational Intelligence (ICCSCI);;Proceeding
2025-05-27-PUBLICATION-003;MUHAMMAD REZA ALFASINA;Muhammad Reza Alfasina, S.Ag., M.Phil.;D6923;-;Pascasarjana (S2);Faculty Member;VR1;Character Building Development Center;MALANG;Y;Penelitian Mandiri;1;Non Scopus FM;3Accepted;Jurnal;Nscopus;Konstruksi Pemikiran Merleau-Ponty Tentang Seksualitas;2025;Jurnal Filsafat Indonesia;;Jurnal SINTA 3
