RequestCode;Author;FM Author;Tipe Author;S/F;Dept;Kampus;First Author;Sumber paper ;Bobot;Submitted;St2024;Jenis;Tipe Publikasi;Title ;Scopus Year;Source title;Quartile Jurnal
2025-01-10-CON-003;AUDIO VALENTINO HIMAWAN MARHENDRA, (DAVIN DANIKA SASONGKO, Mr. Zainal Abidin, Mrs. Maranatha Wijayaningtyas);DAVIN DANIKA SASONGKO;Mahasiswa;BBS;Entre. - Buss. Creation (BINUS @Malang);MALANG;N;Skripsi Malang - BBS UG - Entrepreneurship;1;Scopus Mahasiswa;3Accepted;Seminar;Scopus;The Rise of Technopreneurs Among Generation Z for Future Economic Growth: Generation Z’s View on Technopreneur in Indonesia;2025;2024 International Conference on Sustainable Energy, Environment, Education, and Information System (ICSEEIS);Proceeding
2025-02-27-CON-004;(SHAFIRA IVANA EKA PUTRI), SATRIA FADIL PERSADA;SHAFIRA IVANA EKA PUTRI;Mahasiswa;BBS;Entre. - Buss. Creation (BINUS @Malang);MALANG;Y;Skripsi Malang - Entrepreneurship;1;Scopus Mahasiswa;3Accepted;Seminar;Scopus;Adoption of Smart Grid in Energy Markets: A Bibliometric Analysis of Business Opportunities;2025;2025 2nd International Conference on Smart and Sustainable Energy Systems (ICSSES);Proceeding
2025-03-07-CON-001;(RIDHO BRYAN RAMADHANI), MARDHATILAH SHANTI, ZAINIYAH ALFIRDAUS;RIDHO BRYAN RAMADHANI;Mahasiswa;BBS;Entre. - Buss. Creation (BINUS @Malang);MALANG;Y;Skripsi Malang - Entrepreneurship;1;Scopus Mahasiswa;3Accepted;Seminar;Scopus;Leveraging Business Intelligence and AI for Enhanced Decision-Making in Entrepreneurship: A Bibliometric Analysis;2025;2025 15th IEEE Integrated STEM Education Conference (ISEC);Proceeding
2025-04-03-CON-002;(RAMANDA RAMADHAN), RISCA KURNIA SARI;RAMANDA RAMADHAN;Mahasiswa;BBS;Entre. - Buss. Creation (BINUS @Malang);MALANG;Y;Skripsi Malang - Business Creation;1;Scopus Mahasiswa;3Accepted;Seminar;Scopus;Increasing Renewable Energy Investments in Sustainable Business with Bibliometric Analysis;2025;2025 2nd International Conference on Smart and Sustainable Energy Systems (ICSSES);Proceeding
